"documents","link"
"https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment/nitrous-oxide-updated-harms-assessment-accessible","https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1140251/ACMD_Nitrous_Oxide_Report_06_March.pdf","https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment"
"https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment/cover-letter-acmd-nitrous-oxide-review-accessible","https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1140238/ACMD_Nitrous_Oxide_Report_Cover_Letter__002_.pdf","https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment"
"https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment/government-response-acmd-nitrous-oxide-review-accessible","https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1145963/Nitrous_Oxide_letter_to_ACMD_-_March_2023_-_FINAL__003___003_.pdf","https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment"
"https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment/government-letter-to-acmd-scheduling-and-lawful-access-to-nitrous-oxide-accessible","https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1161878/09-06-2023_-_Letter_from_Minister_Philp_to_the_ACMD.pdf","https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment"
"https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment/government-letter-to-acmd-response-to-recommendations-2-to-7-in-the-updated-nitrous-oxide-harms-assessment-accessible","https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1163562/16-06-2023_-_Letter_from_Crime_and_Policing_Minister_to_the_ACMD.pdf","https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment"
"https://www.gov.uk/government/publications/health-transformation-programme-evaluation-strategy/health-transformation-programme-evaluation-strategy","https://www.gov.uk/government/publications/health-transformation-programme-evaluation-strategy"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1158477/health-transformation-programme-evaluation-strategy.pdf","https://www.gov.uk/government/publications/health-transformation-programme-evaluation-strategy"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1158437/theory-of-change-logic-model.pdf","https://www.gov.uk/government/publications/health-transformation-programme-evaluation-strategy"
"https://www.youtube.com/playlist?list=PLeysxjNpEPy-lA9fg67ODVG9WBLO3cQSS","https://www.gov.uk/government/publications/health-transformation-programme-evaluation-strategy"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1158821/welsh-strategaeth-gwerthuso-rhaglen-trawsnewid-iechyd.pdf","https://www.gov.uk/government/publications/health-transformation-programme-evaluation-strategy"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1163046/B._Subsidy_Advice_Unit_Report_on_the_Rapid_Charging_Fund_Pilot_Scheme.pdf","https://www.gov.uk/government/publications/report-on-the-rapid-charging-fund-pilot-scheme"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1163023/Final_report.pdf","https://www.gov.uk/government/publications/report-on-the-heat-pump-investment-accelerator-competition-scheme"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1163032/_Final_report___.pdf","https://www.gov.uk/government/publications/report-on-a-proposed-subsidy-to-national-nuclear-laboratory-ltd-by-the-department-for-energy-security-and-net-zero"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162540/impact-oral-fast-delivery-psrs.pdf","https://www.gov.uk/government/publications/impact-of-oral-and-fast-delivery-pre-sentence-reports-on-the-completion-of-court-orders"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162727/evaluation-of-integrated-advice-hubs-in-primary-healthcare-settings-feasibility-study.pdf","https://www.gov.uk/government/publications/evaluation-of-integrated-advice-hubs-in-primary-healthcare-settings"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162728/evaluation-of-integrated-advice-hubs-in-primary-healthcare-settings-technical-appendix.pdf","https://www.gov.uk/government/publications/evaluation-of-integrated-advice-hubs-in-primary-healthcare-settings"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162730/process-evaluation-pre-sentence-report-pilot.pdf","https://www.gov.uk/government/publications/process-evaluation-of-the-pre-sentence-report-pilot"
"https://www.gov.uk/government/publications/safety-digest-042023-beeston-centre-tram-stop/passenger-dragged-at-beeston-centre-tram-stop-nottingham-22-february-2023","https://www.gov.uk/government/publications/safety-digest-042023-beeston-centre-tram-stop"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1162774/D042023_230615_Beeston_Centre.pdf","https://www.gov.uk/government/publications/safety-digest-042023-beeston-centre-tram-stop"
"https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech/uk-safety-tech-sector-2023-analysis","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1160085/uk_safety_tech_analysis_2023.pdf","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech"
"https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech/uk-safety-tech-sector-2022-analysis","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1095102/OS0057_UK_Safety_Tech_Analysis_2022_Online_v4__2_.pdf","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech"
"https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech/the-uk-safety-tech-sector-2021-analysis","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/989753/UK_Safety_Tech_Analysis_2021_-_Final_-_190521.pdf","https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech"
