"link","updated","title","summary"
"https://www.gov.uk/government/publications/nitrous-oxide-updated-harms-assessment","2023-06-16T12:30:03Z","Nitrous oxide: updated harms assessment","This report provides an updated assessment of the health and social harms of nitrous oxide. "
"https://www.gov.uk/government/publications/health-transformation-programme-evaluation-strategy","2023-06-15T13:11:23Z","Health Transformation Programme evaluation strategy","This strategy sets out the current high-level approach for <mark>evaluating</mark> and tracking the performance of the Health Transformation Programme."
"https://www.gov.uk/government/publications/report-on-the-rapid-charging-fund-pilot-scheme","2023-06-15T10:57:05Z","Report on the Rapid Charging Fund Pilot Scheme","The SAU has published its report prepared in response to a request from the Office for Zero Emission Vehicles (OZEV) concerning the proposed Rapid Charging Fund Pilot Scheme (RCF). "
"https://www.gov.uk/government/publications/report-on-the-heat-pump-investment-accelerator-competition-scheme","2023-06-15T10:23:00Z","Report on the Heat Pump Investment Accelerator Competition Scheme","The SAU has published its report prepared in response to a request from the Department for Energy Security and Net Zero (DESNZ) concerning the proposed Heat Pump Investment Accelerator Competition (HPIAC) Scheme."
"https://www.gov.uk/government/publications/report-on-a-proposed-subsidy-to-national-nuclear-laboratory-ltd-by-the-department-for-energy-security-and-net-zero","2023-06-15T10:11:40Z","Report on a proposed subsidy to National Nuclear Laboratory Ltd by the Department for Energy Security and Net Zero","The SAU has published its report prepared in response to a request from the Department for Energy Security and Net Zero concerning a proposed subsidy to National Nuclear Laboratory Ltd."
"https://www.gov.uk/government/publications/impact-of-oral-and-fast-delivery-pre-sentence-reports-on-the-completion-of-court-orders","2023-06-15T09:00:11Z","Impact of oral and fast delivery pre-sentence reports on the completion of court orders","This report provides a quantitative analysis of whether offenders who have a pre-sentence report (PSR) at sentence are more likely to successfully complete their court order or terminate early."
"https://www.gov.uk/government/publications/evaluation-of-integrated-advice-hubs-in-primary-healthcare-settings","2023-06-15T09:00:11Z","Evaluation of Integrated Advice Hubs in Primary Healthcare Settings","This study explores the feasibility of conducting a process, impact and economic <mark>evaluation</mark> of integrated advice hubs in primary healthcare settings."
"https://www.gov.uk/government/publications/process-evaluation-of-the-pre-sentence-report-pilot","2023-06-15T09:00:11Z","Process evaluation of the Pre-Sentence Report Pilot","This report provides findings from a process <mark>evaluation</mark> of the Pre-Sentence Report pilot."
"https://www.gov.uk/government/publications/safety-digest-042023-beeston-centre-tram-stop","2023-06-15T09:00:00Z","Safety digest 04/2023: Beeston Centre tram stop","RAIB has today released its safety digest into a passenger dragged at Beeston Centre tram stop, Nottingham, 22 February 2023."
"https://www.gov.uk/government/publications/safer-technology-safer-users-the-uk-as-a-world-leader-in-safety-tech","2023-06-15T08:35:22Z","UK Safety Tech sectoral analysis","A sectoral analysis of UK Online Safety Technology, published in May 2020 and updated in May 2021, July 2022 and June 2023. "
"https://www.gov.uk/government/publications/escherichia-coli-e-coli-o157-annual-totals","2023-06-15T08:30:23Z","Escherichia coli (E. coli) O157: annual totals","The number of infections of Escherichia coli (E. coli) O157 reported in England and Wales."
"https://www.gov.uk/government/statistics/learning-disability-services-monthly-statistics-at-may-2023-mhsds-march-2023-final","2023-06-15T08:30:22Z","Learning Disability Services Monthly Statistics, AT: May 2023, MHSDS: March 2023 Final","Latest Monthly statistics from the Assuring Transformation collection and MHSDS collection."
"https://www.gov.uk/government/statistics/bioscience-and-health-technology-sector-statistics-2021","2023-06-14T15:38:52Z","Bioscience and health technology sector statistics 2021","Official statistics on the bioscience and health technology sector 2021"
"https://www.gov.uk/government/publications/radiation-workers-and-their-health-national-study","2023-06-14T13:14:20Z","Radiation workers and their health: national study","The national registry for radiation workers (NRRW) is a long-term follow-up study of the health of radiation workers in the UK."
"https://www.gov.uk/government/publications/creative-spillovers-do-the-creative-industries-benefit-firms-in-the-wider-economy","2023-06-14T10:06:37Z","Creative spillovers: do the creative industries benefit firms in the wider economy?","A report by Frontier Economics to estimate the impact of the creative industries (CIs) on wider firms’ innovation and activity."
"https://www.gov.uk/government/organisations/department-for-work-pensions/about/statistics","2023-06-12T09:33:45Z","Department for Work and Pensions – Statistics at DWP","We publish statistics on benefits, pensions, employment programmes, income distribution and other subjects we are responsible for."
"https://www.gov.uk/government/organisations/uk-health-security-agency/about/statistics","2023-06-12T08:50:24Z","UK Health Security Agency – Statistics at UKHSA","The UK Health Security Agency (UKHSA) collects and publishes statistics related to planning, preventing and responding to external health threats."
