"documents","keywords"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025283/2a_Extent_and_condition_of_priority_habitats.pdf","survey, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025284/2b_Statutus_priority_habitats_of_European_importance.pdf","evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025285/3_Habitat_connectivity_in_wider_countryside.pdf","experimental, monitoring, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025286/4a_Status_of_priority_species_relative_abundance.pdf","survey, monitoring, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025287/4b_Status_of_priority_species_Distribution.pdf","impact, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025288/4c_Status_of_species_of_EU_importance.pdf","evaluation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025291/7_Wetland_species.pdf","survey, monitoring, experimental, impact, simulation"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025294/8_Seabirds.pdf","monitoring, survey, rct"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025296/9_Greenhouse_gas_removal_by_forests.pdf","impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025299/11_Marine_services_fish_size_classes_in_the_north_sea.pdf","survey, impact, evaluation, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025302/13_Awareness_understanding_support_for_conservation.pdf","survey, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025303/14._Taking_action_for_the_natural_environment.pdf","survey, monitoring, case study, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025320/20_Pressure_from_invasive_species.pdf","impact, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025323/21_Surface_water_status.pdf","monitoring, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025324/22_Agri-environment_and_forestry.pdf","performance"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025325/23_Sustainable_fisheries.pdf","evaluation, survey, rct, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025332/4a_TB_Status_of_priority_species_abundance.pdf","monitoring, survey, simulation, impact, rct"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025346/4b_TB_Status_of_priority_species_distribution.pdf","monitoring, survey, impact, rct"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025347/5_6_7_8_TB_Birds_of_the_wider_countryside_and_marine_environment.pdf","monitoring, survey, rct, impact"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025349/5_6_7_TB_Plants_of_the_wider_countryside.pdf","monitoring, survey, simulation, experimental, rct"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025352/12b_TB_Plant_Genetic_Resources_2021_FINAL.pdf","survey, monitoring"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025353/13_TB_Awareness_understanding_support_for_conservation.pdf","survey, monitoring, impact, interview"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1025357/20_TB_Invasive_spp.pdf","impact, evaluation, survey"
"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1026382/24_Biodiversity_data_for_decision_making_REVISED.pdf","evaluation, monitoring, survey, impact"
